sentence	pictos_ref_ids	sense_keys
abel et bellina ont enfilé leur manteau tout chaud et leur bottes pour se précipiter à l'extérieur et goûter aux plaisirs de la neige	[[2485], [11399], [2484], [7271], [5514], [], [2242], [5596], [2300], [11399], [], [8299], [7194], [], [2719], [7041], [8476], [5475], [11399], [4694], [11709], [35563], [7074], [7029], [3135]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['insert%2:30:00::', 'enclose%2:30:00::', 'enter%2:35:03::', 'stick_in%2:30:00::', 'infix%2:35:01::', 'inclose%2:30:00::', 'introduce%2:35:00::', 'insert%2:35:00::', 'put_in%2:30:00::', 'introduce%2:30:03::'], [], ['overcoat%1:06:00::', 'sheepskin_coat%1:06:00::', 'topcoat%1:06:00::', 'coat%1:06:00::', 'greatcoat%1:06:00::', 'afghan%1:06:01::'], ['completely%4:02:04::', 'entirely%4:02:00::', 'totally%4:02:00::', 'whole%4:02:00::', 'all%4:02:00::', 'right%4:02:07::', 'wholly%4:02:00::', 'altogether%4:02:04::', 'all%5:00:00:complete:00'], ['hot%3:00:01::'], [], [], ['boot%1:06:00::'], [], [], ['run%2:38:05::', 'run%2:38:00::'], [], [], ['outside%4:02:01::'], [], ['take_in%2:34:00::', 'ingest%2:34:00::', 'snack%2:34:00::', 'have%2:34:00::', 'consume%2:34:00::', 'take%2:34:00::', 'nosh%2:34:00::'], [], ['joy%1:12:00::', 'joyfulness%1:12:00::', 'joyousness%1:12:00::'], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::']]
comme il fait froid dehors ils ont également mis leur bonnet leur écharpe et leurs moufles	[[12313], [], [6190], [4652], [5475], [7032], [7271], [], [5514], [], [2412], [], [2290], [11399], [], []]	[[], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], ['cold%3:00:01::'], ['outside%4:02:01::'], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], ['insert%2:30:00::', 'enclose%2:30:00::', 'enter%2:35:03::', 'stick_in%2:30:00::', 'infix%2:35:01::', 'inclose%2:30:00::', 'introduce%2:35:00::', 'insert%2:35:00::', 'put_in%2:30:00::', 'introduce%2:30:03::'], [], ['stocking_cap%1:06:00::', 'cap%1:06:03::', 'ski_cap%1:06:00::', 'toboggan_cap%1:06:00::'], [], ['scarf%1:06:00::'], [], [], []]
tiens attrape crie abel en lançant une boule de neige en direction de sa soeur	[[], [8187], [4686], [2485], [11709], [5447], [8474], [], [7074], [3135], [11709], [7078], [7074], [12272], [2422]]	[[], ['trammel%2:35:00::', 'catch_up_with%2:33:00::', 'overtake%2:33:00::', 'snare%2:35:00::', 'catch%2:33:10::', 'entrap%2:35:00::', 'trap%2:35:00::', 'ensnare%2:35:00::'], ['cry%2:32:01::', 'scream%2:32:01::', 'yell%2:32:01::', 'call%2:32:09::', 'holler%2:32:05::', 'shout%2:32:01::', 'squall%2:32:00::', 'shout_out%2:32:00::', 'hollo%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], ['throw%2:35:07::', 'drop%2:35:01::', 'throw_off%2:35:00::', 'thrust%2:35:08::', 'throw_away%2:35:00::', 'shake_off%2:35:00::', 'cast_off%2:35:00::', 'shed%2:35:01::', 'throw%2:35:02::', 'cast%2:35:01::'], [], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::'], [], ['signpost%1:10:00::', 'direction%1:15:00::', 'way%1:15:00::', 'guidepost%1:10:00::'], [], [], ['sis%1:18:00::', 'sister%1:18:00::']]
bellina esquive la boule de justesse	[[2484], [11259], [7029], [24891], [7074], [5546]]	[['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['negociate%2:38:00::', 'slalom%1:11:00::', 'avoid%2:32:00::', 'negotiate%2:38:00::'], [], ['snowball%1:06:00::'], [], ['few%3:00:00::', 'testacean%1:05:00::', 'lesser%5:00:00:small:00']]
raté raté dit elle	[[22115], [22115], [5973], [7028]]	[['flunk%2:41:00::', 'bomb%2:41:00::', 'flush_it%2:41:00::', 'fail%2:41:01::'], ['flunk%2:41:00::', 'bomb%2:41:00::', 'flush_it%2:41:00::', 'fail%2:41:01::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], []]
a son tour elle envoie une boule vers abel	[[7041], [12272], [6232], [7028], [5447], [8474], [24891], [7125], [2485]]	[[], [], ['tower%1:06:00::', 'turret%1:06:00::'], [], ['throw%2:35:07::', 'drop%2:35:01::', 'throw_off%2:35:00::', 'thrust%2:35:08::', 'throw_away%2:35:00::', 'shake_off%2:35:00::', 'cast_off%2:35:00::', 'shed%2:35:01::', 'throw%2:35:02::', 'cast%2:35:01::'], [], ['snowball%1:06:00::'], [], ['boy%1:18:00::', 'male_child%1:18:00::']]
une véritable bataille de boules de neige commence	[[8474], [], [12256], [7074], [], [7074], [3135], [5431]]	[[], [], ['warfare%1:04:00::', 'war%1:26:00::', 'state_of_war%1:26:00::', 'war%1:04:00::'], [], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::'], ['begin%2:42:00::', 'start%2:42:00::', 'begin%2:30:00::', 'start%1:15:00::', 'starting_line%1:15:00::', 'start%1:11:00::', 'set_out%2:30:00::', 'scratch%1:15:00::', 'start%2:30:00::', 'scratch_line%1:15:00::', 'commence%2:30:00::', 'start_out%2:30:00::', 'get_down%2:30:00::', 'get%2:30:12::', 'set_about%2:30:00::']]
que c'est amusant 	[[], [], [5465], [8992]]	[[], [], ['be%2:42:05::'], ['delight%2:34:00::', 'relish%2:37:00::', 'savor%2:37:00::', 'savour%2:37:00::', 'revel%2:34:00::', 'disport%2:41:00::', 'divert%2:41:00::', 'bask%2:37:13::', 'enjoy%2:37:00::', 'amuse%2:41:00::', 'enjoy%2:34:00::']]
j'ai une idée annonce abel si nous faisions un bonhomme de neige 	[[2617], [7271], [8474], [], [5973], [2485], [], [7183], [6190], [2627], [3131], [], []]	[[], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], [], [], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], [], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['snowman%1:06:00::'], [], []]
oh oui s'enthousiasme bellina excellente idée 	[[], [5583], [5465], [5973], [2484], [11599], [8661]]	[[], ['affirm%2:32:01::', 'swan%2:32:00::', 'aver%2:32:00::', 'yes%1:10:00::', 'affirmatively%4:02:00::', 'avow%2:32:00::', 'swear%2:32:03::', 'assert%2:32:00::', 'affirm%2:32:00::', 'verify%2:32:03::'], ['be%2:42:05::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['grand%5:00:00:extraordinary:00', 'bully%5:00:00:good:01', 'o.k.%5:00:00:satisfactory:00', 'terrific%5:00:00:extraordinary:00', 'fine%5:00:00:satisfactory:00', 'cracking%5:00:00:good:01', 'wonderful%5:00:00:extraordinary:00', 'great%5:00:00:good:01', 'slap-up%5:00:00:good:01', 'dandy%5:00:00:good:01', 'keen%5:00:00:good:01', 'rattling%5:00:00:extraordinary:00', 'ok%5:00:00:satisfactory:00', 'hunky-dory%5:00:00:satisfactory:00', 'successful%3:00:00::', 'tremendous%5:00:00:extraordinary:00', 'cool%5:00:00:satisfactory:00', 'marvelous%5:00:00:extraordinary:00', 'smashing%5:00:00:good:01', 'groovy%5:00:00:good:01', 'wondrous%5:00:00:extraordinary:00', 'corking%5:00:00:good:01', 'okay%5:00:00:satisfactory:00', 'howling%5:00:00:extraordinary:00', 'all_right%5:00:00:satisfactory:00', 'nifty%5:00:00:good:01', 'bang-up%5:00:00:good:01', 'fantastic%5:00:00:extraordinary:00', 'neat%5:00:00:good:01', 'not_bad%5:00:00:good:01', 'marvellous%5:00:00:extraordinary:00', 'swell%5:00:00:good:01', 'old%5:00:00:good:01', 'peachy%5:00:00:good:01'], ['think%2:31:00::', 'mean%2:31:00::', 'think%2:31:06::', 'think%2:31:08::', 'cogitate%2:31:00::', 'intend%2:31:00::', 'think%2:36:00::', 'cerebrate%2:31:00::']]
nous allons fabriquer un énorme bonhomme de neige avec un balai un beau chapeau et une carotte pour le nez	[[7183], [2432], [2713], [2627], [4656], [], [7074], [3135], [7064], [2627], [2693], [2627], [4660], [2572], [11399], [8474], [2619], [7194], [8476], [2887]]	[[], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['weighty%5:00:00:fat:01', 'fat%3:00:01::', 'chubby%5:00:00:fat:01', 'obese%5:00:00:fat:01', 'plump%5:00:00:fat:01', 'corpulent%5:00:00:fat:01', 'rotund%5:00:00:fat:01', 'embonpoint%5:00:00:fat:01'], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::'], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['broom%1:06:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['well-favored%5:00:00:beautiful:00', 'good-looking%5:00:00:beautiful:00', 'fine-looking%5:00:00:beautiful:00', 'beautiful%3:00:00::', 'better-looking%5:00:00:beautiful:00', 'well-favoured%5:00:00:beautiful:00', 'handsome%5:00:00:beautiful:00'], ['felt_hat%1:06:00::', 'hat%1:06:00::', 'homburg%1:06:00::', 'stetson%1:06:00::', 'lid%1:06:01::', 'chapeau%1:06:00::', 'trilby%1:06:00::', 'snap-brim_hat%1:06:00::', 'fedora%1:06:00::'], [], [], ['carrot%1:20:02::', 'carrot%1:20:00::', 'daucus_carota_sativa%1:20:00::', 'cultivated_carrot%1:20:00::'], [], [], ['olfactory_organ%1:08:00::', 'nose%1:08:00::']]
je vais en chercher à la maison dit elle	[[2617], [2432], [11709], [6946], [7041], [7029], [2317], [5973], [7028]]	[[], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['search%2:39:00::', 'search%2:35:00::', 'look%2:39:02::', 'look_for%2:35:00::', 'seek%2:35:00::'], [], [], ['menage%1:14:00::', 'household%1:14:00::', 'house%1:14:05::', 'family%1:14:02::', 'home%1:14:00::', 'house%1:06:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], []]
d'accord répond abel je commence la première boule	[[], [5584], [9031], [2485], [2617], [5431], [7029], [4726], [24891]]	[[], ['yes%1:10:00::'], ['reply%2:32:00::', 'answer%2:31:00::', 'respond%2:32:00::', 'answer%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], ['begin%2:42:00::', 'start%2:42:00::', 'begin%2:30:00::', 'start%1:15:00::', 'starting_line%1:15:00::', 'start%1:11:00::', 'set_out%2:30:00::', 'scratch%1:15:00::', 'start%2:30:00::', 'scratch_line%1:15:00::', 'commence%2:30:00::', 'start_out%2:30:00::', 'get_down%2:30:00::', 'get%2:30:12::', 'set_about%2:30:00::'], [], ['first%5:00:00:ordinal:00', '1st%5:00:00:ordinal:00', 'first%3:00:00::'], ['snowball%1:06:00::']]
bellina est revenue avec une carotte et un chapeau	[[2484], [5465], [6248], [7064], [2627], [2619], [11399], [2627], [2572]]	[['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['be%2:42:05::'], ['bring_back%2:38:00::', 'turn%1:04:02::', 'take_back%2:38:03::', 'return%2:38:00::', 'turn%2:38:00::', 'return%2:38:12::'], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['carrot%1:20:02::', 'carrot%1:20:00::', 'daucus_carota_sativa%1:20:00::', 'cultivated_carrot%1:20:00::'], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['felt_hat%1:06:00::', 'hat%1:06:00::', 'homburg%1:06:00::', 'stetson%1:06:00::', 'lid%1:06:01::', 'chapeau%1:06:00::', 'trilby%1:06:00::', 'snap-brim_hat%1:06:00::', 'fedora%1:06:00::']]
je n'ai pas trouvé de balai dit elle	[[2617], [], [7271], [6526], [6531], [7074], [2693], [5973], [7028]]	[[], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['contrive%2:36:00::', 'invent%2:36:00::', 'discover%2:31:00::', 'realise%2:31:00::', 'realize%2:31:00::', 'formulate%2:36:00::', 'discover%2:36:00::', 'find%2:36:00::', 'excogitate%2:36:00::', 'find%2:31:09::', 'understand%2:31:01::', 'see%2:31:01::', 'forge%2:36:08::', 'devise%2:36:00::'], [], ['broom%1:06:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], []]
abel quant à lui a beaucoup de difficultés à fabriquer sa boule	[[2485], [], [], [], [7271], [5521], [7074], [5556], [7041], [2713], [12272], [24891]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], [], [], ['hold%2:40:00::', 'have_got%2:40:00::', 'own%2:40:00::', 'have%2:40:04::', 'have%2:40:00::', 'possess%2:40:00::'], ['very_much%4:02:01::', 'lots%4:02:00::', 'a_good_deal%4:02:00::', 'much%4:02:00::', 'a_lot%4:02:00::', 'a_great_deal%4:02:00::', 'much%4:02:04::'], [], ['problem%1:10:00::'], [], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], [], ['snowball%1:06:00::']]
elle s'effrite et se casse à chaque fois	[[], [], [7017], [11399], [], [3369], [5596], [8476], [22631]]	[[], [], ['fall_apart%2:30:04::', 'crumble%2:30:00::'], [], [], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::'], ['completely%4:02:04::', 'entirely%4:02:00::', 'totally%4:02:00::', 'whole%4:02:00::', 'all%4:02:00::', 'right%4:02:07::', 'wholly%4:02:00::', 'altogether%4:02:04::', 'all%5:00:00:complete:00'], [], ['time%1:28:05::', 'time%1:03:00::']]
attends dit bellina je vais t'aider	[[8109], [5973], [2484], [2617], [2432], [], [9046]]	[['wait%2:42:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['aid%2:41:00::', 'rescue%2:41:00::', 'deliver%2:41:01::', 'assist%2:41:02::', 'help%2:41:00::']]
nous allons en fabriquer ensemble	[[7183], [2432], [11709], [2713], []]	[[], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], [], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], []]
abel et bellina s'appliquent à fabriquer de belles boules de neige	[[2485], [11399], [2484], [], [24863], [7041], [2713], [7074], [4660], [], [7074], [3135]]	[['boy%1:18:00::', 'male_child%1:18:00::'], [], ['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], [], ['attend%2:39:00::', 'pay_heed%2:39:00::', 'give_ear%2:39:00::', 'listen%2:39:01::', 'hang%2:39:00::', 'advert%2:39:00::', 'take_heed%2:39:00::', 'hear%2:39:05::'], [], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], [], ['well-favored%5:00:00:beautiful:00', 'good-looking%5:00:00:beautiful:00', 'fine-looking%5:00:00:beautiful:00', 'beautiful%3:00:00::', 'better-looking%5:00:00:beautiful:00', 'well-favoured%5:00:00:beautiful:00', 'handsome%5:00:00:beautiful:00'], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::']]
malheureusement celles ci s'effritent et se cassent	[[11377], [], [], [], [7017], [11399], [], [3369]]	[[], [], [], [], ['fall_apart%2:30:04::', 'crumble%2:30:00::'], [], [], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::']]
alors ils doivent recommencer encore et encore	[[], [7032], [15525], [5431], [37163], [], []]	[[], [], ['obligate%2:41:00::', 'oblige%2:41:00::', 'compel%2:41:00::'], ['begin%2:42:00::', 'start%2:42:00::', 'begin%2:30:00::', 'start%1:15:00::', 'starting_line%1:15:00::', 'start%1:11:00::', 'set_out%2:30:00::', 'scratch%1:15:00::', 'start%2:30:00::', 'scratch_line%1:15:00::', 'commence%2:30:00::', 'start_out%2:30:00::', 'get_down%2:30:00::', 'get%2:30:12::', 'set_about%2:30:00::'], ['again%4:02:00::', 'over_again%4:02:00::', 'once_again%4:02:00::', 'once_more%4:02:00::'], [], []]
ce n'est vraiment pas facile de fabriquer un bonhomme de neige	[[], [], [5465], [], [6526], [4645], [7074], [2713], [2627], [], [7074], [3135]]	[[], [], ['be%2:42:05::'], [], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['simple%3:00:02::', 'easy%3:00:01::'], [], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::']]
décidément je n'y arrive pas dit abel vraiment déçu	[[], [2617], [], [], [21379], [6526], [5973], [2485], [25708], [2606]]	[[], [], [], [], ['make_it%2:41:05::', 'pass%2:41:08::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['recite%2:32:01::', 'recount%2:32:00::', 'narrate%2:32:00::', 'tell%2:32:01::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['real%4:02:01::', 'rattling%4:02:00::', 'very%4:02:00::', 'really%4:02:00::'], ['low-spirited%5:00:00:dejected:00', 'grim%5:00:00:dejected:00', 'gloomy%5:00:00:dejected:00', 'blue%5:00:00:dejected:00', 'dispirited%5:00:00:dejected:00', 'downhearted%5:00:00:dejected:00', 'dysphoric%3:00:00::', 'low%5:00:00:dejected:00', 'sad%3:00:00::', 'down%5:00:00:dejected:00', 'downcast%5:00:00:dejected:00', 'down_in_the_mouth%5:00:00:dejected:00', 'distressed%3:00:04::', 'depressed%5:00:00:dejected:00', 'unhappy%3:00:00::', 'unhappy%3:00:04::']]
la mienne n'est pas bien grosse mais au moins elle n'est pas cassée	[[7029], [12264], [], [5465], [6526], [], [4656], [11377], [11709], [5512], [], [], [5465], [6526], [4736]]	[[], [], [], ['be%2:42:05::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], [], ['weighty%5:00:00:fat:01', 'fat%3:00:01::', 'chubby%5:00:00:fat:01', 'obese%5:00:00:fat:01', 'plump%5:00:00:fat:01', 'corpulent%5:00:00:fat:01', 'rotund%5:00:00:fat:01', 'embonpoint%5:00:00:fat:01'], [], [], ['less%4:02:01::', 'to_a_lesser_extent%4:02:00::', 'less%4:02:00::', 'fewer%3:00:00::', 'less%5:00:00:fewer:00'], [], [], ['be%2:42:05::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['broken%3:00:01::']]
ce n'est pas grave répond abel on va faire un bonhomme de neige un peu moins grand	[[], [], [5465], [6526], [11470], [9031], [2485], [], [2432], [6190], [2627], [], [7074], [3135], [2627], [5546], [5512], [4557]]	[[], [], ['be%2:42:05::'], ['footprint%1:10:00::', 'step%1:10:02::', 'footmark%1:10:00::'], ['better%3:00:00::', 'admire%2:37:00::', 'better%4:02:01::', 'best%4:02:03::', 'look_up_to%2:37:00::', 'admire%2:39:00::'], ['reply%2:32:00::', 'answer%2:31:00::', 'respond%2:32:00::', 'answer%2:32:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], [], ['go%2:38:00::', 'move%2:38:03::', 'travel%2:38:00::', 'locomote%2:38:00::'], ['fix%2:30:03::', 'prepare%2:30:00::', 'ready%2:30:00::', 'set_up%2:30:02::', 'gear_up%2:30:00::', 'set%2:30:09::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['few%3:00:00::', 'testacean%1:05:00::', 'lesser%5:00:00:small:00'], ['less%4:02:01::', 'to_a_lesser_extent%4:02:00::', 'less%4:02:00::', 'fewer%3:00:00::', 'less%5:00:00:fewer:00'], ['tall%3:00:00::', 'greater%3:00:00::']]
c'est bien aussi un petit bonhomme de neige	[[], [5465], [5397], [], [2627], [6060], [], [7074], [3135]]	[[], ['be%2:42:05::'], ['ok%1:10:00::', 'o.k.%1:10:00::', 'okay%1:10:00::', 'well%4:02:00::', 'correct%3:00:04::', 'okeh%1:10:00::', 'hunky-dory%5:00:00:satisfactory:00', 'o.k.%5:00:00:satisfactory:00', 'cool%5:00:00:satisfactory:00', 'fine%5:00:00:satisfactory:00', 'ok%5:00:00:satisfactory:00', 'right%3:00:04::', 'okay%5:00:00:satisfactory:00', 'okey%1:10:00::', 'good%4:02:00::', 'all_right%5:00:00:satisfactory:00'], [], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['infant%1:18:00::', 'baby%1:18:00::', 'babe%1:18:00::'], [], [], ['snow%2:43:00::', 'snow%1:27:00::', 'snow%1:19:00::', 'snowfall%1:19:00::']]
bellina est du même avis	[[2484], [5465], [11712], [4667], []]	[['little_girl%1:18:00::', 'girl%1:18:02::', 'female_child%1:18:00::'], ['be%2:42:05::'], [], ['equal%3:00:00::', 'same%3:00:04::', 'such%4:02:00::', 'like%3:00:02::'], []]
après quelques tentatives abel parvient enfin à fabriquer une boule sans la casser	[[7818], [5374], [8119], [2485], [21379], [], [7041], [2713], [2627], [24891], [7813], [7029], [3369]]	[[], ['some%5:00:00:extraordinary:00', 'roughly%4:02:00::', 'just_about%4:02:00::', 'around%4:02:03::', 'various%5:00:00:individual:00', 'or_so%4:02:00::', 'more_or_less%4:02:00::', 'respective%5:00:00:individual:00', 'several%5:00:00:individual:00', 'about%4:02:00::', 'some%4:02:00::', 'close_to%4:02:00::', 'approximately%4:02:00::', 'several%5:00:00:some:00'], ['experiment%1:04:00::', 'experimentation%1:04:00::'], ['boy%1:18:00::', 'male_child%1:18:00::'], ['make_it%2:41:05::', 'pass%2:41:08::'], [], [], ['make%2:36:13::', 'construct%2:36:00::', 'build%2:36:00::'], ['number%1:23:00::', 'odd%3:00:00::', 'one%5:00:00:cardinal:00', 'ace%1:23:00::', 'i%1:23:00::', 'one%1:23:00::', 'ane%5:00:00:cardinal:00', 'i%5:00:00:cardinal:00', 'uneven%3:00:04::', 'number%1:10:01::', 'single%1:23:00::', 'unity%1:23:00::', 'numeral%1:10:00::', '1%5:00:00:cardinal:00', '1%1:23:00::'], ['snowball%1:06:00::'], [], [], ['dash%2:30:00::', 'smash%2:30:00::', 'break_off%2:35:01::', 'fragment%2:30:00::', 'fragmentise%2:30:00::', 'chip_off%2:35:00::', 'break_up%2:30:00::', 'break_away%2:35:00::', 'chip%2:35:01::', 'come_off%2:35:01::', 'fragmentize%2:30:00::']]
